Date,gross_ret,net_ret,cost,turnover,regime,ann_vol
2022-10-10,0.007177229215851276,0.007177229215851276,0.0,0.0,high,0.2745069343493571
2022-10-11,0.014636105936128586,0.014636105936128586,0.0,0.0,high,0.2683307464780654
2022-10-12,0.005324045669401619,0.005324045669401619,0.0,0.0,medium,0.22758223599216315
2022-10-13,-0.005879114595343497,-0.005879114595343497,0.0,0.0,medium,0.22624442747163045
2022-10-14,0.00011335541093828458,0.00011335541093828458,0.0,0.0,high,0.2502791351734534
2022-10-17,-0.01656276671284406,-0.01656276671284406,0.0,0.0,high,0.256981525472981
2022-10-18,-0.0022285706788568427,-0.0022285706788568427,0.0,0.0,high,0.2807940289955069
2022-10-19,0.007357333565177409,0.007357333565177409,0.0,0.0,high,0.28210127840559807
2022-10-20,-0.008684374802675024,-0.008684374802675024,0.0,0.0,high,0.27577321844350083
2022-10-21,0.0034240168590046146,0.0034240168590046146,0.0,0.0,high,0.27546234506330536
2022-10-24,0.006376679514431105,0.006376679514431105,0.0,0.0,high,0.2794271219507944
2022-10-25,-0.01647576401727607,-0.01647576401727607,0.0,0.0,high,0.2785196584012999
2022-10-26,0.018962879386391428,0.018962879386391428,0.0,0.0,high,0.2821735352319999
2022-10-27,0.029198635649361412,0.029198635649361412,0.0,0.0,high,0.27866723947002814
2022-10-28,-0.004091941817159933,-0.004091941817159933,0.0,0.0,high,0.27301717595296543
2022-10-31,0.009939412362890043,0.009939412362890043,0.0,0.0,high,0.2737989542652136
2022-11-01,0.0008153237676668123,0.0008153237676668123,0.0,0.0,high,0.26929887920245565
2022-11-02,0.012236596208776065,0.012236596208776065,0.0,0.0,high,0.2549464053453683
2022-11-03,0.015514065411959111,0.015514065411959111,0.0,0.0,high,0.27142732565549754
2022-11-04,-0.012177127634177397,-0.012674224009043595,0.0004970963748661979,0.6103914920335083,high,0.2730818360587038
2022-11-07,-0.004220621505110123,-0.004220621505110123,0.0,0.0,high,0.25605298600350596
2022-11-08,0.0020552896891432772,0.0020552896891432772,0.0,0.0,high,0.2548812607202177
2022-11-09,0.003036197310688179,0.003036197310688179,0.0,0.0,high,0.2516567067463966
2022-11-10,-0.05114375787960885,-0.05114375787960885,0.0,0.0,high,0.2692178831590348
2022-11-11,-0.022620903328099556,-0.022620903328099556,0.0,0.0,high,0.3180949732012562
2022-11-14,0.007746809767074929,0.007746809767074929,0.0,0.0,high,0.30638501925901174
2022-11-15,-0.01229042966798165,-0.01229042966798165,0.0,0.0,high,0.2951877395952437
2022-11-16,0.016718971755360735,0.016718971755360735,0.0,0.0,high,0.2946495064620577
2022-11-17,0.010963080358485972,0.010963080358485972,0.0,0.0,high,0.29561110526889006
2022-11-18,0.0058035813038841266,0.0058035813038841266,0.0,0.0,high,0.2953307953948687
2022-11-21,0.0014544777934562307,0.0014544777934562307,0.0,0.0,high,0.2885670527440549
2022-11-22,-0.0013704091497446786,-0.0013704091497446786,0.0,0.0,high,0.2880191178102908
2022-11-23,-0.009588276448425338,-0.009588276448425338,0.0,0.0,high,0.28662057069432406
2022-11-25,0.004187380095422519,0.004187380095422519,0.0,0.0,high,0.2865157039254284
2022-11-28,0.004462523212208047,0.004462523212208047,0.0,0.0,high,0.28128092541377014
2022-11-29,-0.001516255503726801,-0.001516255503726801,0.0,0.0,high,0.2715846735656676
2022-11-30,-0.021881524979822348,-0.021881524979822348,0.0,0.0,high,0.2690139987612497
2022-12-01,0.005847615047330685,0.005847615047330685,0.0,0.0,high,0.2932979137315592
2022-12-02,0.0007603043840825824,0.0007603043840825824,0.0,0.0,high,0.27534812409938186
2022-12-05,0.01378366907257008,0.01378366907257008,0.0,0.0,high,0.26871389031749005
2022-12-06,0.01233303077020873,0.011576822780641888,0.0007562079895668423,0.9657617469491113,high,0.28110575563090584
2022-12-07,0.006076634283258132,0.006076634283258132,0.0,0.0,high,0.287838222409716
2022-12-08,-0.006124228688712933,-0.006124228688712933,0.0,0.0,high,0.28807816929123703
2022-12-09,-0.007743326015368662,-0.007743326015368662,0.0,0.0,high,0.27389389803118014
2022-12-12,-0.00014908660598065334,-0.00014908660598065334,0.0,0.0,medium,0.19181582696282962
2022-12-13,-0.010118989140733123,-0.010118989140733123,0.0,0.0,medium,0.19429179400241256
2022-12-14,0.0063930081489887445,0.0063930081489887445,0.0,0.0,medium,0.19401459879730135
2022-12-15,0.013826722732352172,0.013826722732352172,0.0,0.0,medium,0.1930749818507199
2022-12-16,0.0007231591953105764,0.0007231591953105764,0.0,0.0,medium,0.20929471830260546
2022-12-19,0.017000832941332956,0.017000832941332956,0.0,0.0,medium,0.2117393078736402
2022-12-20,0.003494364084020119,0.003494364084020119,0.0,0.0,medium,0.21401620278535707
2022-12-21,-0.011230777140509766,-0.011230777140509766,0.0,0.0,medium,0.21339547112306295
2022-12-22,0.00923223995865328,0.00923223995865328,0.0,0.0,medium,0.21393313688724866
2022-12-23,0.00668694964111864,0.00668694964111864,0.0,0.0,medium,0.215358955058098
2022-12-27,0.015580318407123196,0.015580318407123196,0.0,0.0,medium,0.21667327284208587
2022-12-28,0.0012642566401266505,0.0012642566401266505,0.0,0.0,medium,0.21414095025744098
2022-12-29,-0.02207565308552791,-0.02207565308552791,0.0,0.0,medium,0.21619787045556213
2022-12-30,0.0018998178307990253,0.0018998178307990253,0.0,0.0,medium,0.18594705928486252
2023-01-03,-0.017690557306713654,-0.017690557306713654,0.0,0.0,medium,0.18607275351989722
2023-01-04,-0.012042363791114055,-0.012042363791114055,0.0,0.0,medium,0.1860962466498445
