Date,gross_ret,net_ret,cost,turnover
2015-03-04,-0.006262441759500087,-0.008217471108050397,0.00195502934855031,2.7325556402461277
2015-03-05,0.0030896170837137883,0.001352815288266465,0.0017368017954473233,2.522003505173371
2015-03-06,-0.0007443167042080682,-0.0027560748237035414,0.002011758119495473,2.810962292627019
2015-03-09,-0.0020935417771455137,-0.004130793289596403,0.00203725151245089,2.9772329401858264
2015-03-10,0.0032494110845804787,0.0011999915197203983,0.0020494195648600804,2.974079843720897
2015-03-11,0.0026806700972401196,0.0004969645404609233,0.0021837055567791963,3.0273635989896035
2015-03-12,0.020076629642529334,0.017930541501229583,0.0021460881412997492,3.046380088828324
2015-03-13,0.008710021169849744,0.00653591398763566,0.002174107182214084,3.1107267257391435
2015-03-16,0.002717008409012724,0.0004167885732788319,0.002300219835733892,3.3725637783364446
2015-03-17,0.004180507248715233,0.0020884243392377357,0.0020920829094774975,2.959267151207408
2015-03-18,0.009710337390075992,0.00747422879031232,0.002236108599763671,3.220402787854106
2015-03-19,0.004139285898626805,0.0019094846317732378,0.0022298012668535675,3.205355031726371
2015-03-20,0.0025320219367537056,0.0007633777042944786,0.001768644232459227,2.545395986094014
2015-03-23,0.006084662536169888,0.003763969000353946,0.0023206935358159424,3.266784470916835
2015-03-24,-0.005793511760730614,-0.008260458808975968,0.002466947048245353,3.5492347182557444
2015-03-25,0.0022692278080340437,0.0005665378354794625,0.0017026899725545812,2.473787571836417
2015-03-26,0.000567937231720586,-0.0016220177489738676,0.0021899549806944536,3.172151759191474
2015-03-27,-0.009824649026822068,-0.012012219732127159,0.0021875707053050906,3.141161183142583
2015-03-30,0.018400384135206463,0.016467755551931022,0.0019326285832754408,2.7675961419204747
2015-03-31,0.0015059992241420609,-0.0009084090376065509,0.0024144082617486118,3.2931560907350517
2015-04-01,0.0010446637053213642,-0.0010518394822275415,0.0020965031875489057,2.9326098179838014
2015-04-02,-0.004372006819457831,-0.006380190535087377,0.0020081837156295463,2.8939920093031772
2015-04-06,-0.006989314493154271,-0.00871120769804632,0.0017218932048920492,2.46020081313428
2015-04-07,-0.0006354976487519435,-0.0025050589530474132,0.0018695613042954697,2.6847043305798426
2015-04-08,0.0012154632732301973,-0.0008090146097330878,0.002024477882963285,2.9093459325664663
2015-04-09,0.0012210449303824253,-0.0007202087908465841,0.0019412537212290094,2.8576973814759277
2015-04-10,-0.0030066025178910397,-0.005045465164589193,0.002038862646698153,3.0463978570587185
2015-04-13,0.000905284866563772,-0.0008192746323352543,0.0017245594988990263,2.5467491315093826
2015-04-14,-0.0027434807863244296,-0.004695109712472053,0.0019516289261476234,2.9291981775255125
2015-04-15,0.001482785783313635,-0.00020797181528822402,0.001690757598601859,2.612002938834065
2015-04-16,0.00836295208942461,0.006336247851893698,0.0020267042375309123,2.982105051011131
2015-04-17,0.007903050146705554,0.005767269662740113,0.0021357804839654414,3.1461174067450375
